Date,Security1,Security2,Security3,Security4,Security5,Security6,Security7,Security8,Security9,Security10
01/05/2000,11.85417,9.73911,58.57217,0.52579,6.77618,3.48391,3.38659,5.65549,10.34278,1.19224
02/05/2000,11.85417,9.85615,58.67211,0.52902,6.51028,3.46027,3.36675,5.79089,10.28308,1.21272
03/05/2000,12.21763564,9.33129,57.57347,0.52902,6.43942,3.29074,3.32357,5.97479,10.25283,1.18141
04/05/2000,12.21858,9.45278,58.7781,0.52902,6.4383,3.27708,3.33527,5.98982,10.22351,1.12269
05/05/2000,11.2069,9.32705,59.34366,0.53136,6.60581,3.24112,3.35533,5.92561,10.19222,1.1212
08/05/2000,11.36465,9.37619,59.59616,0.53325,6.5993,3.27085,3.4619,5.82269,10.01586,1.05109
09/05/2000,11.48272,9.23036,60.91223,0.53588,6.63607,3.46659,3.4111,5.80115,10.0448,1.06449
10/05/2000,11.62528,8.94748,61.68933,0.53681,6.35635,3.53872,3.36793,5.85992,9.98549,1.03409
11/05/2000,11.65919,9.06816,62.51625,0.5427,6.25797,3.49659,3.40976,5.80488,9.98549,1.02938
12/05/2000,11.83828,9.10428,62.93729,0.5427,6.35819,3.44288,3.39718,5.95072,10.13409,1.00612
15/05/2000,12.18786,9.03619,63.1024,0.5427,6.11542,3.39196,3.35477,5.80266,10.13435,0.98493
16/05/2000,12.16747,9.06419,64.83595,0.55343,6.17402,3.40266,3.35477,5.7598,10.16328,1.00397
17/05/2000,12.54371,8.61249,64.00398,0.55902,6.2783,3.38589,3.34542,5.63916,10.10229,0.92761
18/05/2000,12.48619,8.70988,64.42786,0.55104,6.2783,3.50795,3.30128,5.6172,9.89418,0.90051
19/05/2000,12.48619,8.56726,63.213,0.55282,6.19476,3.38925,3.26517,5.77481,9.95386,0.90051
22/05/2000,12.60086,8.51464,63.34785,0.5565,6.06282,3.36837,3.32057,5.6868,9.8938,0.90377
23/05/2000,12.38938,8.55774,64.14187,0.5565,5.943,3.42133,3.38531,5.59729,9.95309,0.87228
24/05/2000,12.18702,8.61643,64.1299,0.5565,5.8218,3.4405,3.37665,5.5786,9.83425,0.89629
25/05/2000,12.1378,8.89428,63.63302,0.55511,5.7798,3.53956,3.40001,5.63883,9.86358,0.93868
26/05/2000,11.71271,8.93385,62.59746,0.56344,5.60628,3.73445,3.38758,5.71776,9.89329,0.90008
29/05/2000,11.63306,8.8705,63.11005,0.56344,5.55277,3.69794,3.37895,5.63865,9.98216,0.92387
30/05/2000,12.04955,9.06129,64.93868,0.57221,5.50081,3.73522,3.38888,5.56083,10.07103,0.92571
31/05/2000,12.65909,9.16405,67.2696,0.58759,5.58178,3.7119,3.38888,5.64066,10.21983,0.93625
01/06/2000,13.17352,9.4411,68.31938,0.58759,5.44594,3.67074,3.54087,5.64066,10.30909,0.99425
02/06/2000,13.35494,9.57391,70.96843,0.58759,5.69683,3.6947,3.52778,5.75614,10.338,0.97518
05/06/2000,13.20623,9.61114,70.90711,0.58883,6.10299,3.74472,3.45536,5.8584,10.63494,0.98867
06/06/2000,13.33333,9.39967,71.80339,0.58588,6.16344,3.81525,3.5966,5.84588,10.63494,0.97816
07/06/2000,13.54095,9.63591,72.12451,0.5696,6.43531,3.87089,3.62427,5.931,10.96115,0.95616
08/06/2000,13.61054,9.67801,71.94677,0.57333,6.49969,3.76314,3.70496,5.80632,10.8426,1.01274
09/06/2000,13.31972,9.44017,72.43708,0.59942,6.43494,3.74122,3.70496,5.67796,10.84247,0.98679
12/06/2000,13.5169,9.34917,71.97684,0.59797,6.43643,3.75198,3.88748,5.67796,10.87133,0.92737
13/06/2000,12.90907,9.38005,73.21598,0.59797,6.38331,3.87879,3.82225,5.69117,10.8426,0.93022
14/06/2000,12.93984,9.48071,75.13953,0.59797,6.55125,3.91552,3.8134,5.79991,11.02126,0.91666
15/06/2000,12.62833,9.57637,73.5524,0.59797,6.54327,3.90686,3.8419,5.67109,11.10924,0.88992
16/06/2000,12.57549,9.79882,72.16674,0.59289,6.47822,3.94637,3.82178,5.71635,11.07911,0.87987
19/06/2000,12.26771,9.60893,72.3987,0.57907,6.51154,3.93295,3.98863,5.64222,10.87092,0.91451
20/06/2000,12.46014,9.48571,70.99345,0.57926,6.45354,3.86963,3.96436,5.64372,10.78444,0.93566
21/06/2000,12.07147,9.23952,68.4714,0.57926,6.33728,3.85049,3.90613,5.67926,10.72378,0.90758
22/06/2000,12.07147,9.42799,68.12285,0.57926,6.33436,3.80935,3.9362,5.61036,10.51692,0.91636
23/06/2000,11.78243,9.34369,67.9735,0.58217,6.34277,3.86152,3.85311,5.61036,10.28215,0.91305
26/06/2000,11.94432,9.50937,69.01148,0.57787,6.2244,3.89405,3.87521,5.59886,10.36838,0.87879
27/06/2000,12.05366,9.58744,69.871,0.5532,6.33911,3.97272,3.87883,5.61028,10.36572,0.86865
28/06/2000,12.04326,9.58169,71.8972,0.56865,6.3871,4.02178,3.9081,5.72404,10.39408,0.88067
29/06/2000,11.96581,9.54037,72.33519,0.57685,6.22261,4.13906,3.94223,5.94875,10.36452,0.88231
30/06/2000,12.10103,9.84198,71.66689,0.57685,6.35966,4.23249,4.01481,6.12022,10.57213,0.88357
03/07/2000,12.4599,9.7414,73.39029,0.57685,6.45541,4.19428,3.96187,6.20469,10.54189,0.88003
04/07/2000,12.27746,9.97816,73.0806,0.57306,6.44908,4.17283,3.92197,6.2535,10.60101,0.86863
05/07/2000,12.42768,9.79779,74.29469,0.58205,6.37902,4.09885,3.89788,6.24833,10.71965,0.91612
06/07/2000,12.60261,9.89466,73.15215,0.57436,6.32816,4.23216,3.92448,6.1653,10.59965,0.8803
07/07/2000,12.54766,10.00225,74.1402,0.58724,6.49168,4.26459,3.95156,6.13047,10.6303,0.90078
10/07/2000,12.62691,10.05185,75.85068,0.59234,6.59904,4.14193,3.95396,6.17129,10.7488,0.92482
11/07/2000,12.50292,9.98388,75.60675,0.59234,6.80435,4.1849,4.0032,6.0487,11.13623,0.87769
12/07/2000,12.54355,9.78447,72.98458,0.59234,6.58012,4.2018,4.04415,6.03164,11.46187,0.87509
13/07/2000,12.48842,9.81419,73.84268,0.59296,6.63817,4.20541,4.03761,6.15828,11.58153,0.85912
14/07/2000,12.34454,9.83026,76.2388,0.58395,6.63817,4.15318,3.96518,6.34405,11.492,0.87081
17/07/2000,12.44938,9.69801,79.06378,0.5781,6.73197,4.16538,3.89323,6.36795,11.69882,0.81162
18/07/2000,12.39143,9.70234,79.27616,0.59202,6.68245,4.0221,3.81826,6.43012,11.46128,0.82213
19/07/2000,12.40951,9.59711,76.9078,0.61309,6.84833,4.00321,3.84148,6.42966,11.63898,0.84163
20/07/2000,12.47834,9.72559,78.938,0.61309,6.85187,4.12168,3.87057,6.49383,11.69837,0.80848
21/07/2000,12.53634,9.72229,79.78579,0.61309,6.78799,4.16415,3.90283,6.49932,11.87636,0.84406
24/07/2000,12.56545,9.80361,80.22507,0.61839,6.74316,4.15732,3.91422,6.85435,11.99651,0.85385
25/07/2000,12.70283,9.75536,81.47342,0.62294,6.79694,4.17698,3.95253,6.79994,12.11389,0.86805
26/07/2000,12.59751,9.87288,80.14663,0.62632,6.91827,4.20758,3.91991,6.65292,12.46858,0.83365
27/07/2000,12.58547,9.75873,78.96071,0.63241,6.89731,4.08162,3.87942,6.53012,12.46954,0.84361
28/07/2000,12.40078,9.59497,77.18283,0.63301,7.00744,4.00282,3.91909,6.36242,12.28999,0.83837
31/07/2000,12.55327,9.63548,77.71052,0.63301,6.9578,4.17024,3.95258,6.39071,12.17093,0.82718
01/08/2000,12.3871,9.55463,75.54863,0.63301,7.0212,4.08846,3.88038,6.29087,12.17046,0.82553
02/08/2000,12.31296,9.56988,77.95496,0.63013,7.09541,4.07094,3.89315,6.41565,12.46714,0.83323
03/08/2000,11.66267,9.4746,75.20998,0.63388,7.10281,4.00749,3.92437,6.12092,12.34857,0.80598
04/08/2000,11.87287,9.52936,74.65796,0.64775,7.11643,4.05122,4.04244,6.19183,12.52667,0.7946
